model,target,mae,mse,rmse,r2,spearman
lightgbm,CQ,0.03410343470630197,0.0025775522510522886,0.050769599673941575,0.9494294370017421,0.9751791064340748
lightgbm,AQ,0.028434973297295208,0.001412209079415153,0.037579370396737,0.955570019061859,0.9794475869305487
lightgbm,HQ,0.0313904042657295,0.0021481390285233394,0.04634802076166079,0.894057722250024,0.9489345371015095
lightgbm,VQ,0.013987354969250302,0.0003798943927435091,0.01949087973241611,0.9477717665263299,0.9697502195078759
mlp,CQ,0.06524720308689962,0.007699445184787377,0.08774648246389924,0.8489399089349344,0.9272153477007425
mlp,AQ,0.04366421299909922,0.0030309861114765618,0.055054392299584615,0.9046411348577054,0.9519099000040199
mlp,HQ,0.047933261152264914,0.0034820641866048422,0.05900901784138457,0.8282709795305381,0.9049861875814919
mlp,VQ,0.04372844576169935,0.002985639015649723,0.05464100123213083,0.589531578891364,0.7890048085378722
random_forest,CQ,0.03299465408805034,0.002556037201257864,0.05055726655247358,0.9498515538300607,0.9759349967272036
random_forest,AQ,0.036230817610062895,0.0023489047379454957,0.04846550049205616,0.9261003244819476,0.9703657948658332
random_forest,HQ,0.03294654088050313,0.001811539266247379,0.04256218117351811,0.9106582052877206,0.9601849919849458
random_forest,VQ,0.014709119496855326,0.0004549242662473788,0.021328953707282005,0.9374565899253797,0.9696644816880619
xgboost,CQ,0.030931078029245284,0.0021017774950745126,0.045845146908637044,0.9587639508841793,0.9819921976094755
xgboost,AQ,0.029413921278301895,0.0014738776067593341,0.03839111364312494,0.9536298449514363,0.9769528660248692
xgboost,HQ,0.027480010113207547,0.00139885286587846,0.037401241501833334,0.9310111417927549,0.9624078641191731
xgboost,VQ,0.014272237373584904,0.0003928931841928291,0.019821533346157383,0.9459846806212505,0.9685297164258193
mllm_baseline,CQ,0.1321016532442713,0.03275991121967195,0.18099699229454602,0.4077550573551295,0.7057196334893971
mllm_baseline,AQ,0.1092733093247004,0.022170516668237834,0.14889767180261024,0.42734214246840063,0.7677132268250021
mllm_baseline,HQ,0.1142361277782176,0.025152514657834635,0.15859544337033973,0.0749670664345986,0.5774298316350773
mllm_baseline,VQ,0.0738151798641552,0.009922031671802207,0.0996093954996325,0.05332366392089549,0.6932775812115471
mllm_local_prompt,CQ,0.13100848661972456,0.033472301780837176,0.1829543707617754,0.3948762157670396,0.6345341426036003
mllm_local_prompt,AQ,0.12452087985102145,0.029700236327241263,0.17233756504964687,0.23285172114610897,0.7727311875180982
mllm_local_prompt,HQ,0.1098603395106687,0.024455536517934074,0.15638266054116765,0.10059980105989585,0.6433111041237579
mllm_local_prompt,VQ,0.07495751125714424,0.010059715071633085,0.10029813094785509,0.04018707851155512,0.706066576582721
mllm_anchor_prompt,CQ,0.10948934749005189,0.020449857276907697,0.14300299744029038,0.6303004465169224,0.7862852341262236
mllm_anchor_prompt,AQ,0.12198639320135088,0.025646507870188823,0.16014527114525992,0.3375583226190568,0.7663457569484001
mllm_anchor_prompt,HQ,0.0986735582700106,0.022261853968597083,0.1492040682039102,0.18127676841402673,0.6698453177520632
mllm_anchor_prompt,VQ,0.07308692438551341,0.010364313651478298,0.10180527320074485,0.01112485848637046,0.6938901931878904
mllm_rubric_prompt,CQ,0.14339956316309221,0.03699698084313328,0.192345992532034,0.33115585538225234,0.6961844058045757
mllm_rubric_prompt,AQ,0.12040772890943205,0.026127229651118297,0.16163919589975168,0.32514142186499206,0.7871690334584609
mllm_rubric_prompt,HQ,0.10293919745771347,0.020941977182877294,0.14471343124560793,0.22981781934465206,0.6735572913390968
mllm_rubric_prompt,VQ,0.07092128214843542,0.008956292963257801,0.09463769314209747,0.14546628273683848,0.7489673231593266
mllm_explanatory_promoptA,CQ,0.09794174686401606,0.019462630921639607,0.13950853350831127,0.6481478641192681,0.8143551200130357
mllm_explanatory_promoptA,AQ,0.09279094647953587,0.017271806857544307,0.1314222464331831,0.5538743612181658,0.8422063369098509
mllm_explanatory_promoptA,HQ,0.07407242318900889,0.011210739862862917,0.10588078136688885,0.5877031094561961,0.8094459823950768
mllm_explanatory_promoptA,VQ,0.058838960077832195,0.006362545615003166,0.07976556659990053,0.39293971535435324,0.7264579844431104
mllm_explanatory_promoptB,CQ,0.10401331104858874,0.019548353275133202,0.1398154257409861,0.6465981459290151,0.8234319079929878
mllm_explanatory_promoptB,AQ,0.09451815783174561,0.01544230483106683,0.12426707058214106,0.6011298549222546,0.8827228728081014
mllm_explanatory_promoptB,HQ,0.07631050700556688,0.011549524993549989,0.10746871634829361,0.5752436234942155,0.8492562513811567
mllm_explanatory_promoptB,VQ,0.07204063131863978,0.007732468821444048,0.08793445753198258,0.2622332305656756,0.7961701055249047
mllm_explanatory_promoptC,CQ,0.10403418211816572,0.020542604559523628,0.1433269149864171,0.6286237292418049,0.8049776791543154
mllm_explanatory_promoptC,AQ,0.11071609170357534,0.023516986360142315,0.15335249055735065,0.3925632304324036,0.8048445075296862
mllm_explanatory_promoptC,HQ,0.09453016819050347,0.016341170896291408,0.1278325893357848,0.3990214713032061,0.7543769799171577
mllm_explanatory_promoptC,VQ,0.07500594254347512,0.00920236654182503,0.09592896612507106,0.12198802329669445,0.6444413215148816
